sys:time	sys:real_time	Temp	Field
98.87941098213196	1748902773.033354	0.0	2.0
99.98208999633789	1748902774.131056	10.0	2.0
100.37821006774902	1748902774.532149	10.0	2.0
100.69013094902039	1748902774.839076	10.0	2.0
101.09601473808289	1748902775.2499552	10.0	2.0
101.41300511360168	1748902775.5650308	10.0	2.0
101.72098398208618	1748902775.869932	10.0	2.0
102.01683688163757	1748902776.165786	10.0	2.0
102.32296395301819	1748902776.471926	10.0	2.0
102.63168096542358	1748902776.7806458	10.0	2.0
102.94247698783875	1748902777.096415	10.0	2.0
103.25817584991455	1748902777.412116	10.0	2.0
103.57782983779907	1748902777.727694	10.0	2.0
103.99079179763794	1748902778.140152	10.0	2.0
104.30197882652283	1748902778.45586	10.0	2.0
104.60390400886536	1748902778.757846	10.0	2.0
105.01272487640381	1748902779.166668	10.0	2.0
105.32664799690247	1748902779.475617	10.0	2.0
105.62977886199951	1748902779.7812328	10.0	2.0
106.02854990959167	1748902780.17822	10.0	2.0
106.33530378341675	1748902780.484262	10.0	2.0
106.64570689201355	1748902780.799593	10.0	2.0
106.96006083488464	1748902781.109493	10.0	2.0
107.37422204017639	1748902781.5231638	10.0	2.0
107.77391481399536	1748902781.924334	10.0	2.0
108.18246603012085	1748902782.336403	10.0	2.0
108.49255299568176	1748902782.643936	10.0	2.0
108.80633091926575	1748902782.960269	10.0	2.0
109.11134696006775	1748902783.2647018	10.0	2.0
109.41620874404907	1748902783.565582	10.0	2.0
109.71749186515808	1748902783.866453	10.0	2.0
110.0274109840393	1748902784.181356	10.0	2.0
110.33016872406006	1748902784.484107	10.0	2.0
110.74587082862854	1748902784.89483	10.0	2.0
111.14609789848328	1748902785.3000472	10.0	2.0
111.54888868331909	1748902785.697844	10.0	2.0
111.9512209892273	1748902786.101287	10.0	2.0
112.25792193412781	1748902786.408511	10.0	2.0
112.65920376777649	1748902786.8091352	10.0	2.0
112.96752691268921	1748902787.121472	10.0	2.0
114.0943078994751	1748902788.2482529	10.0	2.0
